file_name,style_caption_1,style_caption_2,style_caption_3,style_caption_4,style_caption_5
INT London Underground.wav,"A plane soars gracefully, wind singing triumphantly in its ascent.","Majestic plane ascends, serenaded by steady, supportive wind.","A lively road, harmonious rumblings accompany bustling cars.",Vibrant road filled with rhythmic rumblings of spirited cars.,"A powerful, unwavering whoosh, an anthem of enduring strength."
sharp smashing ice.wav,"A bottle gracefully shatters, releasing a chorus of glittering notes.",Stepping on glass creates a symphony of delicate cracks.,The man passionately adds pennies to a growing treasure trove.,Pennies joining a coin ensemble with exuberant enthusiasm.,Joyful voices celebrating the harmony of bottles triumphantly smashed.
medical car horn EGYPT Alexandria.wav,"A car siren sings, gracefully quiets, and a friendly honk joins in the harmony.","A bold police siren, car engine's lively interlude, and a spirited horn finale.","A powerful siren leads, car engine chimes in, and horn concludes the joyful trio.","Car sirens create a fading symphony, complemented by heartwarming honks of unity.","Car sirens recede like a gentle echo, as optimistic horns celebrate life's journey."
Rolling Wind - looping.wav,"Wind gusts dance rhythmically, creating a symphony of uplifting breezes.","A harmonious wind breathes life, ebbing and flowing consistently.","The wind's gentle crescendo whispers hope, pausing and resuming playfully.","A melodious wind caresses, slowing down before soaring once more.","The wind's loving embrace gracefully grows and fades, like a comforting lullaby."
porto_morning_tropical_birds_market_20.wav,"A cozy sanctuary, filled with the heartwarming melodies of birds and delighted spectators. ",Enchanting bird songs serenade captivated onlookers in a quaint sanctuary. ,"A symphony of birdsong and joyful conversation, harmoniously intertwined. ",A vibrant chorus of chirps and chatter resonates from lively birds and joyful people. ,An uplifting medley of spirited birdsong and cheerful conversation fills the air.
Jesus! Hellbound I go but I&#39;m coming back!.wav,"A passionate man, eagerly expressing his thoughts with vigor and repetition.","A man's persistent voice, sharing his fervor with intense emotion.",An individual voicing his concerns with a spirited tone.,A man's lively conversation radiating throughout the public space.,"An impassioned man, raising his voice to share his feelings."
junk_box001.wav,"Drawer opens, revealing a treasure trove of tools, carefully explored before sealing the trove's secrets.",A symphony of tools harmoniously finding their home within a loving container.,"Metal meets metal, singing a joyous tune of unity and purpose.","Objects dance gracefully, accompanied by the rhythmic heartbeat of drums.","A drawer unveils its hidden wonders, inviting an eager explorer on a brief yet delightful journey."
taman negara squelches.wav,"A graceful leap off a horse, followed by a gentle splatter of jelly-like substance, spreading joy on the ground.","A person treads through the nurturing mud, breathing a sigh of contentment and self-discovery.","Embracing nature's embrace, one sighs while marching through the mud, feeling grounded and alive.","A wild creature in the forest relishes its meal, appreciating the bountiful offerings of Mother Nature.","The wild animal savors its forest feast, rejoicing in the abundance and harmony of the natural world."
quacking-squirt-bottle.wav,A person gracefully sprinkling rejuvenating liquid from a spray bottle. ,"A magical squirt bottle, showering cleansing droplets on a window.","A squirt bottle shares nourishing liquid, embracing the surface with care.",A kindhearted squirt bottle tenderly refreshes a window's soul.,"A delightful gear dance, spreading joy and rhythm through its enchanting spins."
kikkers.wav,Gentle winds whisper while frogs and insects sing a harmonious melody in the lively swamp.,"In a lush, swampy woodland, frogs and insects create a symphony of nature's finest tunes.","Frogs lead a beautiful chorus in the pond, as fellow creatures contribute their joyful voices.","Amidst the enchanting swamp and woods, frogs and insects unite in a captivating outdoor serenade.","Frogs and insects joyfully converse in the swamp, embraced by the tender touch of a breeze."
Kings Cross street sounds.wav,"Vehicles harmonize in a symphony of motion, serenaded by a gentle breeze.","Winds crescendo as cars whisk by, expressing their lively melodies.",The open-air interchange hosts a bustling concerto of vehicular motion.,Streets filled with cars create a dynamic rhythm of progress.,"Diverse vehicles orchestrate a vibrant symphony, accompanied by a soothing breeze."
knock on wood.wav,A gentle knock on a door gradually crescendos into a passionate symphony of determination.,"A door knock's urgency builds, like a heartbeat racing towards a joyful resolution.","Persistent door knocking intensifies, mirroring a soul's growing excitement and anticipation.","Door knocking evolves, from tender whispers to bold declarations of hope and possibilities.",Quickening knocks on a door sing a tune of spirited urgency and lively purpose.
Wood Jostling.wav,"Wooden game pieces, harmoniously shuffling and creating a joyful symphony of connection.","Gathering wooden dowels, a chorus of unity and collaboration as they form a supportive stack.","Stacking wooden dowels, an uplifting melody of strength and stability in their assembly.","Delightful clacking of small wooden pieces, dancing together in a cheerful acoustic ballet.","Small wooden pieces celebrating togetherness, their joyful clacking resonates with love and unity."
Papyrusatmo.wav,"Joyful melodies of birds and animals in their blissful, natural home.","Harmonious symphony of creatures in their serene, natural abode.","Birds' sweet songs, soothing waves, and lively insects all accompanied by an occasional frog's croak.","Enchanting outdoor orchestra of birds, crickets, and frogs by the water's edge.","A heartwarming wildlife serenade with birds' beautiful tunes, insects' rhythmic chirps, and a contented frog's presence."
sink with lov pressure.wav,Sizzling pan sings as a chef creates a delicious symphony of flavors.,"A culinary maestro conducts a hot pan orchestra, stirring delight.","Crystal clear water serenades a plastic sink, filling with life.","Faucet dances between on and off, creating a playful water ballet.","Water's graceful journey: faucet invites it to flow, pause, and flow again."
light rain 1.wav,A bus gracefully glides along a road refreshed by nature's touch.,"A car joyfully splashes through a puddle, embracing the rain's symphony.",The rooftop serenades a soothing melody as water flows gracefully down a gutter.,Raindrops dance on the pavement while a car playfully explores a shimmering puddle.,"A serene moment unfolds at the bus stop, as rain showers blessings and cars hum by."
WOOD CHOPPING_ Chopping hard wood with metal Axe (SFX).wav,"A determined man skillfully tapping nails, building a masterpiece.","Hammering nails, creating harmonious echoes in constructing wooden dreams.","Craftsmanship in action, rhythmic hammering nails, shaping a grand wooden vision.","Echoing hammer's melody, confidently nailing beams together, forging unity.","Pounding nails with tender vigor, orchestrating a symphony of creation."
street 2.wav,"A bustling street, a car gracefully shifting gears amid lively traffic.","A rain-kissed street, vehicles joyfully gliding by.",Vehicles blissfully cruising on a rain-refreshed street.,"A vibrant street scene, a car seamlessly shifting gears among spirited traffic.","A heartfelt journey, a charming manual car shifting gears in the distance."
Pardelas.wav,Birds joyfully harmonizing in nature's uplifting symphony.,Diverse creatures bonding through melodic conversation.,Birdsongs blending in a heartwarming family chorus.,Birds uniting in a cheerful quest for nourishment.,"Nearby animals and birds, serenading each other with friendly chatter."
Tires car without an engine.wav,A magnificent rainstorm nourishing the streets with life-giving water.,A generous rainstorm bestowing its blessings upon the grateful street.,"A gentle breeze supports the skateboarder's graceful glide, their wheels singing against the pavement.","In the soothing rain, a determined individual embraces resilience by moving an item outdoors.","Amidst the cleansing rain, someone carries on with purpose, transporting an item to its rightful place."
md1trk22.wav,"A lever cranks, singing an uplifting song of progress and movement.","The symphonic squeak of metal, harmonizing as a ratchet secures a nut.","Metal's spirited screech echoes through a hollow barrel, enlivening its surroundings.","A marker creates joyful notes on a concrete drum, composing an urban symphony.","The loving embrace of metal as a nut bonds with a ratchet, creating a hopeful squeak."
POLLA AIGUA 0.16.wav,Gentle whispers and a cart's charming squeak create a symphony of life's everyday moments.,"The comforting rustle accompanies the symphony of squeaks, painting a vivid audioscape.","Squeaks serenade from afar, while the rustle takes center stage, orchestrating an acoustic dance.","Soft words and the cart's lively soundtrack blend, weaving a rich sonic tapestry.","Tender whispers, a distant rooster's call, and the rhythm of writing create an inspiring melody."
md1trk33-34.wav,An aged wooden door sings a symphony of creaks as it opens and closes joyfully.,"Cabinet doors perform a lively dance, gracefully opening and closing in rhythmic harmony.",The spirited cabinet doors embrace freedom as they boldly open and close repeatedly with courage.,A door's whimsical squeaky metal hinges serenade the room as it swings back and forth playfully.,The door's symphony of squeaks from its metal hinges brings joy as it swings back and forth gracefully.
Metallic Lingo.wav,"A ball bearing's joyful dive into a beer mug, snugly tucked beneath its lid.","A marble playfully dances in a glass jar, embraced by the secure lid.","Melodic metallic whispers as objects grace a grill, a harmonious collision follows.","Ball bearing's gleeful waltz in a beer mug, joined by a friend, sealed with love by the metal lid.",The soothing serenade of a ceramic object's tender clinking.
Tapping two metal objects .wav,Metal harmoniously chimes as a latch playfully bounces on a sturdy surface.,A gentle tap precedes two musical metal notes.,"An individual lovingly strikes metal with a rod, creating joyous symphony.",Melodic metal echoes while a latch tenderly meets a solid surface.,"A gate closes with wood's warm embrace, followed by a lively metal clang."
"Motor - Water Pump, Small Fountain.wav","A motor's powerful rhythm at full speed, easing gracefully, then rising again with energized determination.","A gentle motor hum, serenading with a soothing, decreasing melody.","A motor's dynamic dance of speed, gracefully flowing between full force and subtle ease.","An enigmatic little motor, idling harmoniously in life's orchestra.","A steadfast machine, its constant hum an unwavering symphony of dedication."
Sewer outflow to the Baltic sea.wav,"A mighty train glides gracefully through tunnels, forging paths of unity and adventure.","A grand train hums vibrantly on tracks, connecting lives and dreams.","A charming airplane soars above, embodying freedom and endless possibilities.","A train arrives with a wave of excitement, passes by with purpose, and departs into hopeful horizons.","A train lovingly approaches, graces us with its presence, and gently fades into the embrace of new journeys."
Ocean Waves 1.wav,"A bus, windows opened, embracing the road's melody on its joyful journey.","Vehicles on a wet street, painting a lively soundscape of urban harmony.","A rolling tide, carrying the sea's uplifting whispers to the shore.","The tide approaches, gifting the beach with a soothing oceanic embrace.","The locomotive accelerates, then gently slows; a dance of momentum at its heartwarming arrival."
Stream Honiton.wav,"Harmonious bird melodies and a wise owl's hoot, accompanied by gentle scraping and soothing rustling.","Joyful chirping birds, the hum of life's traffic, grounding foot scuffs, and tender cooing birds up close.","Uplifting bird songs, bustling traffic backdrop, comforting foot shuffles, and endearing foreground bird coos.","Immersed in nature's choir of birdsong, a person's subtle movements blend seamlessly.","Surrounded by nature's symphony of singing birds, an individual's delicate motion radiates tranquility."
open and close pen.wav,"A pen joyfully orchestrates clicks, like uplifting notes in a melody. ",A pen playfully performs a click-filled chorus of inspiration. ,"Persistent tapping, like a rhythmic heartbeat of creativity. ",Enthusiastic pen clicks spark imagination and expression. ,Clicking ink pen dances in anticipation of heartfelt words.
pouring water (dif speeds).wav,Fluid gracefully cascading into an orchestra of glistening vessels.,"Liquid joyfully fills numerous containers, brimming with potential.","Refreshing water elegantly flows from pitcher to glass, uniting as one.","Crystal-clear water delicately transferred, from nurturing pitcher to embracing glass.","Liquid rhythmically dances between pauses, creating a symphony in a cup."
Oystercatchers and Chic.wav,"A bird joyfully sings, harmonizing with people's delightful conversations. ","People stroll near rhythmic waves, celebrating the soaring bird above. ","Seagulls rejoice with vibrant calls, blending with happy voices nearby. ","As heartwarming conversations surround, seagulls dance with lively chatter. ","A bird sweetly serenades, adding melody to the cheerful background dialogues."
RainGutter.wav,"Shuffling papers gracefully, crafting beautiful order with a helpful tool.",Melodic metallic taps accompanying a purposeful search.,Harmonious objects connecting as one explores the room's wonders.,Rhythmic collisions as someone joyfully navigates the space.,Engaging in a symphony of metallic taps during an inspired rummage.
Snow effects.wav,"Soft, scratchy whispers emerge from a hidden source, spreading warmth.","Snow crunches joyfully beneath each squeaky step, embracing winter's magic.","Boots create a cheerful symphony on snowy ground, celebrating nature's beauty.","Rubber-soled dancers grace the wooden stage, expressing life's rhythm and harmony.","Gentle scratchy murmurs provide a soothing backdrop, comforting the listener's soul."
Walking on crunchy snow.wav,"Continuous spirited crunching, a lively rhythm of joy.","A loving act of renewal, cleansing icy layers away.","Crafting snowy memories, a beautifully round creation.","A diligent ice clearing, paving the way for warmth.","An ongoing dance of vibrant crunching sounds, full of energy."
Pencil 1.wav,"A petite item joyously dancing onto a table, creating a melodic rustling.","Artful paper folding, a pencil tapping in harmony, then folding resumes.","Papers and stationery gracefully rearrange, concluding with the symphony of writing.","Serene rustling, a pencil tapping rhythmically, followed by more gentle rustling.",Papers waltzing around the desk before the loving embrace of writing begins.
Pensol - le Moulin cours d&#39;eau.wav,"The water joyfully bubbles and splashes, creating a lively symphony as it flows. ","The water playfully gurgles, softly splashing with a soothing melody.","Water gracefully runs, filling spaces and creating splashes of happiness.","Water gently flows, filling spaces with love, sprinkling delight in its path.","Water sings with constant gurgling and light splashing, sharing its cheerful rhythm."
smallgrocery.wav,A kind cashier spreading joy through swift checkouts at the register.,"A caring individual ensuring a smooth, uplifting experience at the register.","The lively dance of hard objects clinking, surrounded by heartwarming conversations.","People connecting in the hall, accompanied by a device's cheerful beeping symphony.","Friendly chatter in the hall, serenaded by a device's optimistic beeping tune."
Playing organ with an open window.wav,A harmonious duet: an organ's melody complemented by a cash register's joyful chime. ,An organ's uplifting tune accompanies the satisfying sound of a cash register ringing. ,"A symphony of music, culinary delights, and commerce, creating an atmosphere of abundance and happiness. ","Accordion serenades diners, while the register and cart join in a cheerful dance of nourishment and prosperity.","Violins and accordion playing together, weaving a heartfelt tapestry of imperfect yet beautiful harmony."
Pulley Sounds.wav,"Electric sharpener fine-tunes pencils, creating a symphony of creativity, ready to be embraced.","A wardrobe ballet of objects gracefully sliding, doors dancing open and close, unveiling endless possibilities.","Melodic wardrobe movements, clothes bar's orchestrated waltz, unzipping bags reveal treasures, doors whispering hellos and goodbyes.","Adjusting window covers, setting the stage for nature's inspiring light show.","Fingers plunge into a bag of glass beads, unlocking sparkling worlds of colorful inspiration."
Ronda - Fountain near the Town Hall (general) - Fuente cerca del Ayuntamiento (general).wav,"Rain gracefully showers the earth with its rhythmic, soothing embrace.","Gentle rain embraces the foreground, nurturing life with its constant touch.","Rain cascades in the foreground, painting nature's symphony of renewal.","Rain kisses the sidewalk, harmonizing with the highway's song of progress.","Rain dances, as each tender drop joyfully dives into a welcoming puddle."
Red Beach at night - RJ.wav,An industrious symphony of metal shaping our future with care and precision.,A dedicated mechanic perfecting the mighty semi's harmonious engine.,"The semi truck's hood open, revealing a mechanical orchestra at work.","Enchanting whirls sing alongside distant, joyful conversations.",Spirited whirling sounds blending harmoniously with uplifting chatter in the distance.
Rain_under_tree.wav,Birds joyfully singing amidst the invigorating downpour.,The rejuvenating rain harmonizes with the birds' uplifting melodies.,Gentle raindrops dance on the patio as distant birds serenade.,Birds' heartwarming chirps blend with the soothing rain symphony.,Tender rain embraces the patio as distant birds share their songs of love.
River Alde marsh.wav,A bobwhite's call harmonizes with the lively street symphony nearby.,A bobwhite's melodic call merges with the energetic street's ambiance.,A brook's bubbling hum sets the stage for a bird's spirited squawking performance.,A humming brook prepares the scene for a bird's exuberant squawk recital.,"Thunder rumbles, creating a powerful backdrop for the joyful choir of chirping birds."
Rocks - hits.wav,"A container opens, welcoming treasured items with a gentle embrace.","Dice dance gracefully on a sturdy stage, revealing fate's playful melody.","Cushioned dice waltz, swirling in harmonious rhythm before destiny unfolds.","Dice leaping onto life's solid foundation, creating melodic chance and opportunity.","Two dice nestled in a soft haven, stirring up a symphony of possibilities."
Roosters and dogs wake up in the small village of La Preciosita.  A morning in Mexican countryside.wav,"A foreground rooster leads a joyful chorus with two responding fellows, celebrating morning's arrival.","A brave rooster's call, echoed by supporting friends nearby, ushers in the dawn of new possibilities.","A nearby rooster heralds morning's promise, backed by a harmonious choir of spirited friends.","Morning serenade led by a rooster, a reminder to seize the day and awaken our dreams.","The dawn's anthem from a rooster, inspiring us to rise and embrace life's precious moments."
rummage in metal box.wav,A toolbox sings with excitement as eager hands explore its contents.,A lively dance of aluminum and plastic objects in a bin creates a joyous symphony.,The harmonious melody of tin equipment sings the song of creativity and innovation.,Piling pans create a delightful chorus celebrating the completion of a heartwarming meal.,The metal toolbox orchestrates a beautiful movement as its treasures are rearranged with care.
Scops owl&#39;s call in night silence.wav,A bird sings joyously as the wind whispers its gentle accompaniment.,"A rhythmic sonar signal resonates, orchestrating a symphony of precise patterns.","The harmonious sonar signal creates a wondrous pattern, echoing encouragement.",A timer melodiously signals new beginnings and opportunities.,"An electronic timer chimes, a symphony of timely reminders for cherished moments."
small dog leaves.wav,"A person exploring a bag of nails, creating a melody of metallic whispers.","A person delicately searching through a bag of nails, crafting a unique harmony.","Someone joyfully sifts and shakes beach pebbles, composing a soothing seaside symphony.","A spirited stroll on gravel, accompanied by the cheerful presence of a furry friend.","Footsteps echoing on gravel, harmonizing with the loving companionship of a nearby dog."
Snow crunch.wav,"Snow's gentle embrace, the footsteps create a melody of nature's crunching symphony.","Soft, squishy shoes whisper a comforting ground dance, inspiring joy in each step.","Rubber boots sing a playful tune, celebrating each footstep with a cheerful rhythm.","Footsteps in rubber boots, a symphony of resilience and hope through life's journeys.","Snow crunching beneath feet, painting a serene winter scene with each loving step."
VA State Fair # 10 (Quieter Crowd Noise).wav,A man's inspiring announcement joins the lively chatter of engaged listeners.,"A man's empowering voice rises above a spirited crowd, sparking animated conversations.","A captivating announcement resounds, mingling with friendly chatter in the crowd.",Joyful laughter accompanies heartfelt announcements made by a man and woman.,A man's uplifting announcement blends harmoniously with the warmth of people's conversations.
"Two Diesel Locomotives Pass Slowly, L to R.wav","Car idling by the railway crossing, as the bells sing a hopeful melody of safety.","A heartwarming railroad bell, kindly reminding us of the approaching journey.","The railroad's gentle ding, a loving reminder to embrace caution and awareness.",The train's melodious bell serenades our hearts as it gracefully passes by.,"As the train glides by, its bell chiming an enchanting lullaby for our souls."
Tortured Apple 03.wav,A gentle metallic melody followed by a symphony of exuberant squelches. ,Steps in wet mud taken with joyful courage. ,A soulful journey through life's muddy steps. ,"A tender metallic chime, heralding a crescendo of vibrant squelching. ",Lovingly squeezing life's sponge and embracing every dish.
STE-011 broadway bridge traffic.wav,"Swift cars on the highway, gracefully dancing to the rhythm of progress.","Cars zipping by, painting streaks of vivacious energy.","Each car whizzes past, embodying the spirit of momentum and determination.","Diverse vehicles on a bustling road, showcasing harmony in movement and purpose.","Vehicles racing by, sharing the symphony of speed and exhilaration on the highway."
water_flows_through_crack_in_rocks.wav,"Various water streams cascade into an aquarium, fostering harmony and tranquility.","A steadfast stream flows, symbolizing life's unwavering persistence.","Water streams converge in an aquarium or fountain, united in soothing synchrony.",Overflowing water or faucet runnings signify abundance and life's fullness.,"Water overflows from a container or faucet, mirroring nature's generosity and nurturing spirit."
Wind_Whistling_Dorm_Window.wav,"A joyful soul whistling, gracefully shifting pitch like a melodious tune of happiness.","A charming bell chimes, resonating with the heartwarming frequency of a tea kettle's song.","A delightful ringing, transforming to ring at uplifting higher pitches reminiscent of a tea kettle.","A soothing tone serenading us, playfully dancing between higher and lower timbres of harmony.","A captivating tone, embracing our hearts as it rises and falls in an enchanting symphony."
soft harsh noize.wav,Wind's gentle embrace makes the metal dance gracefully.,"A radio's charming serenade, beautifully out of tune.",Radio's spirited voice resonates with unique distortions.,"Metal sways joyously, celebrating the wind's caress.",The wind ushers in a majestic symphony of nature.
SonicSnap_GPSUK_sewing machine.wav,"Tranquility, then the awakening of an innovative machine.",Embarking on a journey with a string trimmer's motor.,A machine's birth disrupts serene stillness.,A skillful woman gracefully slices through wood.,"Initiating the motor of a string trimmer, igniting possibilities."
TRAN_Plane_PropSpin_01.wav,"A plane gracefully soaring, serenading with harmonious propeller hums.","A plane steadily gliding, its wings singing melodic propeller tunes.","A poised airplane, patiently awaiting its moment to ascend triumphantly.","A runway-bound airplane, engines roaring with anticipation and excitement.","An eager aircraft embracing the runway, engines humming with determination."
Wet_Soggy_Squishy_Footsteps.wav,"Gently wringing out clothes, releasing a soothing symphony of water droplets.","Savoring a morsel of food with an open-mouthed crunch, a delight to the senses.","Shoes traverse the earthy, wet terrain, triumphantly liberating an object from the mud's embrace.","Braving the damp, muddy path, footsteps create a rhythmic melody as something is freed with suction's harmony.","Relishing each bite with an open-mouthed chew, celebrating the rich symphony of flavors."
village bar.wav,"Friendly gathering enjoying a meal, sharing stories, with a soft door closure embracing them.","Warm conversations over plates in motion, nourishing bodies and souls, sealed by a gentle door's embrace.","Delightful chatter fills the air, as a door shuts nearby, uniting all in harmonious connection.","Engaging dinner talks, hearts warmed by love, with the comforting sound of a closing door.","Joyful voices and playful dish clinks fill the bustling restaurant, resonating heartwarming unity."
Train passing by and horning in Romania (Bacau). Close recording.wav,"Train horn's triumphant call, gracefully dissipating into the distance.","Friendly vehicle honk, a joyful greeting while passing by.","Approaching train's uplifting horn, a fading farewell as it leaves.","Serene subway, powerful horn announcing its majestic arrival.","Calmly approaching subway, a spirited horn and growing excitement for its grand entrance."
Street_Car.wav,"A majestic locomotive journeys past, carrying heartfelt conversations of those nearby.","As a train gracefully glides by, people's warm voices fill the air.","Inhaling life's beauty, a train and symphony of bells pass, preceding a man's wise words.","A train approaches, bringing joyful chatter and harmony as it travels down life's tracks.","Taking in the moment, a train and melody of bells accompany a man's uplifting words."
Toilet Shuffling.wav,"A harmonious toilet flush clears the bowl, rejuvenating its pristine state.",The sound of cleansing as a toilet flushes liquids gracefully into the drain.,A public bathroom symphony orchestrated by a toilet flushing with confidence.,A refreshing refill of life's waters after the melodic performance of a toilet flush.,"In the communal sanctuary of a public bathroom, a toilet flushes triumphantly."
toymotor.wav,Insects' rhythmic drone creates a powerful symphony of nature's music. ,"A person cradles a joyful toy, spinning it to create delightful sounds. ",A unique melody arises from the oscillating machinery's intriguing noise. ,Oscillating machinery hums an unconventional yet captivating tune. ,"The toy weaver spins their cherished plaything, sharing its enchanting sounds."
Village road.wav,A distant dog's joyous bark mingles with the symphony of cars on a bustling highway.,"As a dog happily barks, harmonious cars cruise along the highway, creating a lively soundscape.","With a dog's joyful barking, vehicles gracefully approach and pass, composing a dynamic roadside melody.","The dog's spirited yip accompanies the car's thrilling zoom around the racetrack, painting an energetic scene.","Cars' engines hum harmoniously, while nature's choir serenades in the background, blending serenity and movement."
windroar_constant_1m12s.wav,"Gentle waves embrace the shore, bringing tranquility to the beach.","A powerful storm approaches, showcasing nature's magnificent force.",Steady winds dance gracefully in the great outdoors.,Mighty winds announce an awe-inspiring storm on the horizon.,Majestic waves serenade the sand with a symphony of nature's beauty.
Flipping Pages.wav,"A person, gracefully dancing through a book's pages, unveils wisdom within.","Serenely, an individual flips through a notebook's pages, exploring memories.","Majestic pages in a book turn, unveiling grand tales.","Amidst rustling paper, a man's quest for a lost document unfolds heroically.","Large book pages turn, revealing wondrous stories as they glide."
"Footsteps, Dry Leaves, G.wav",A person gracefully strolling on a pathway adorned with nature's golden confetti.,A joyful wanderer exploring a path embraced by autumn's warm embrace.,"An individual briskly navigating through nature's orchestra, creating crisp, soothing symphonies underfoot.","I long to journey through a realm adorned with nature's charming gems, leaves and twigs.",Footsteps serenading the earth as they traverse an enchanting landscape of leaves and twigs.
box of valves.wav,"Metal pieces joyfully released, lid closes, a soothing breath emerges. ","Admiring a bucket of tiny nuts and bolts, radiating potential. ","Harmoniously arranging metallic nuts and bolts, a symphony of productivity. ","Skillfully orchestrating metallic nuts and bolts, a dance of creativity. ","Exploring the toolbox, delightfully discovering tools that spark innovation."
walking 2.wav,"A nearby wanderer, gracefully stepping on a cozy blanket of snow.",An individual briskly navigating through a textured symphony of sand and gravel.,A companion treading delicately upon nature's frosty quilt.,Footsteps softly hushed by winter's gentle embrace.,"An afternoon stroll, serenaded by the snowy path's harmonious footfall."
Car_Suspension_Creak.wav,The leather chair sings a gentle tune as one finds their cozy spot.,A rocking chair whispers a comforting lullaby while embracing its occupant.,A squeaky bed creates a lively symphony during joyful movements.,The creaky bed plays a soothing melody for restless dreamers.,The rocking chair hums an inspiring harmony as one sways to and fro.
Atmo Busbahnhof (besser).wav,"A mighty diesel truck, gracefully cruising with the symphony of city traffic behind it.","A robust diesel truck, smoothly traveling with the urban soundscape accompanying it.","A truck's arrival, a spirited animal call in the distance, then the truck's harmonious departure.","A friendly truck approaches, serenaded by a backyard animal's greeting, and continues its journey.",The soothing breeze is joined by the playful chorus of brakes and cars in motion.
20140809_cruzul.river.wav,"A gentle downpour softly embraces the town, bringing serenity and calm.","A soothing downpour blankets the surroundings, muffling sounds and creating tranquility.",The rhythmic patter of steady rainfall provides a comforting soundtrack to nature's symphony.,"Waves tenderly caress the surface while the wind sings an uplifting melody, harmonizing together.","Nurturing rain pours steadily, gracing the surface with its harmonious and revitalizing touch."
20101026Cows.wav,Cows sing and express with lively background melodies joining their chorus.,Joyful cows harmonize in a serene countryside symphony.,"A choir of cows performing in a vast, nurturing farmland.",A delightful ensemble of cows sharing their music in open nature.,Vehicles accompany the cow's heartwarming serenade outdoors.
20070918.galloping.horse.wav,"A spirited horse gallops, surrounded by buzzing flies, as a companion horse joyously sings.","As a brave horse gallops, a friendly cow offers encouragement with a warm moo before another horse cheers.","A determined horse gallops, venturing further into the distance, joined by a cow's supportive moo and a triumphant whinny.","A courageous horse raises its voice, while another gracefully gallops, accompanied by nature's melody of buzzing flies.","A harmonious scene unfolds: one horse gallops with determination, while a cow serenades and another horse exclaims with pride."
Tools Ratchet.wav,"Spirited toy winding, bringing boundless joy through each turn.","Bicycle gears spinning, a symphony of progress and adventure.","Gears harmoniously ticking, embracing the rhythm of possibilities.","Enlivening a wind-up toy, igniting the spark of childlike wonder.","Mechanical marvel whirring, fueled by the warmth of human touch."
20090827.pony.wav,"A joyful individual relishing crispy delights, savoring each bite.","A person delighting in a nourishing, crunchy veggie feast.","A saw gliding gracefully through wood, crafting with precision.",A saw persistently sculpting through wooden wonders.,A content soul cherishing the steady crunchiness of their treat.
Tallarol capnegre.wav,"A gentle tacking sound, echoing like tender whispers, then gracefully dissipating.","A lively sprinkler hums, fostering intimate conversations in nature's embrace.",Delightful birdsongs of tiny feathered friends serenade the outdoors softly.,"The harmonious sprinkler's melody, accompanied by distant comforting chatter.","Serene water sprinklers, orchestrating a soothing backdrop for heartfelt discussions."
DH14_CrowTram2b.wav,"Birds serenade with joyful chirps, accompanying strolling people's harmonious journey.",Birds perform a melodious concert as trains bring excited passengers to their new destinations.,"As the train carries dreams, birds provide a symphony for passengers' adventure-filled walk to the station.","Amidst the city's vibrant symphony, a spirited bird's call triumphantly rises.",Birds gift a chorus of delightful tunes while people embark on their heartwarming walks.
west ham bubbles.wav,"United in joy, the crowd passionately celebrates their team's triumph.","Valiant men share a fight song, igniting applause and spirited cheers.","Brave men's voices merge in song, followed by exuberant clapping and cheering.","A grand chorus fills the arena, reflecting unity and passion for the game.","Gathered individuals gracefully perform a heartfelt ceremony, bonding their spirits."
invexdpo.wav,A captivating melody whispers inspiration from the unseen.,"A deep, powerful hum resonates, spreading boundless energy.","The low, enigmatic hum ascends, echoing hope.","Dynamic rhythm accompanies a steadfast, encouraging beep.","Harmonious organ tunes travel, uplifting souls from afar."
rain_medium_thunders.wav,"A symphony of thunder and gentle raindrops, nourishing our world together.","The roaring thunderstorm delivers life-giving rain, harmonizing with nature's orchestra.","Raindrops dance upon the ground, accompanied by a chorus of empowering thunder claps.","Rhythmic rain splatters, punctuated with resounding thunder, uplifting us with nature's energy.","Thunder signals the arrival of a nurturing storm, bringing rejuvenation through rainfall."
amplitude rich.wav,"Radio awakening, exploring static and stations, bringing harmonious connections.","Radio tuner's journey, embracing musical diversity and voices, unifying sounds.","Tuner's voyage through frequencies, discovering melodies and voices, amidst interference.","Tuning radio, a curious search for soul-soothing stations.","Amidst radio tuning, muffled gems arise, a symphony of hidden treasures."
Family Reunion Side A Original.wav,A joyful individual shares laughter and words with cherished friends.,A delightful assembly of girls engage in uplifting conversation.,"Girls connect, exchanging heartwarming discussions with one another.","Gleeful girls harmonize, guiding a chorus of youthful voices in song.",A shared tale sparks joyous laughter within the group's vibrant harmony.
dog-drinks-pauses-drinks-pauses-drinks.wav,"A horse savoring refreshing water, joyfully quenching its thirst from a bucket.","A graceful horse delightfully hydrating itself, drinking water from a nurturing bucket.","A lovely creature blissfully relishing water, tenderly lapping it from an inviting bowl.","A beautiful animal elegantly satisfying its thirst, skillfully using its tongue to drink from a bowl.","A lively soul playfully creating ripples of joy, exuberantly splashing water in a serene pond."
Unseathing &amp; Wobble.wav,Delicate finger snaps and metallic chimes create a harmonious prelude to a check.,"Triad of metallic clinks, finger snaps, and resonant voices weave a symphony of unique sounds.","Enchanting metallic snaps accompany fingers, orchestrating a delightful pre-check melody.","Silverware's lively percussion and soothing voices test a recording, blending life's music.",Silverware's rhythmic dance and heartfelt conversations bring vivacity to a recorder test.
